Код;Адрес;Широта;Долгота
169008;Алушта р-н, Морская ул, д.8, кв.646;;
167890;Алушта р-н, Новая нарезка учатков, д.22;;
167909;Алушта р-н, Новоселовская ул, д.590;;
170966;Алушта р-н, Ручьевая ул, д.536;;
170608;Алушта р-н, Солнечная, д.60;;
169953;Алушта р-н, Таврическая ул., д.1;;
169747;Алушта р-н, Таврическая ул., д.14;;
169473;Алушта р-н, Таврическая ул., д.7, кв.35;;
167371;Алушта р-н, Утренняя ул., д.5;;
169004;Алушта р-н, Утренняя ул., д.8, кв.850;;
168539;Алушта р-н, Алуштинское шоссе, д.44;;
168785;Алушта р-н, Алуштинское шоссе, д.536;;
168546;Алушта р-н, Алуштинское шоссе, д.73;;
170204;Алушта р-н, Алуштинское шоссе, д.836;;
167924;Алушта р-н, Алуштинское шоссе, д.937;;
170167;Алушта р-н, Горная, д.636;;
167331;Алушта р-н, Троицкая ул., д.38;;
169952;Алушта р-н, Троицкая ул., д.5;;
170160;Алушта р-н, Троицкая ул., д.746;;
167682;Алушта р-н, Южная ул., д.21;;
168084;Алушта р-н, А. Тейфука ул, д.647;;
170334;Алушта р-н, Афалина кооп., д.857;;
167576;Алушта р-н, Катран кооп., д.247;;
167531;Алушта р-н, Фросинлер ул., д.937;;
167896;Алушта р-н, Фросинлер ул., д.305;;
167800;Алушта р-н, Лазурный  кооп., д.825;;
169737;Алушта р-н, Ароматная ул., д.68;;
169846;Алушта р-н, Ароматная ул., д.757;;
168544;Алушта р-н, Ароматная ул., д.89;;
168545;Алушта р-н, Ароматная ул., д.90;;
169946;Алушта р-н, Мирная ул., д.33;;
169822;Алушта р-н, Виноградная ул, д.636;;
167689;Алушта р-н, Речная ул., д.372;;
170478;Алушта р-н, Речная ул., д.536;;
170266;Алушта р-н, Речная ул., д.61;;
169197;Алушта р-н, Речная ул., д.637;;
167710;Алушта р-н, Речная ул., д.737;;
167236;Алушта р-н, Речная ул., д.938;;
170595;Алушта р-н, Центральная, д.7, кв.999;;
167612;Алушта р-н, Ветеран СТ, д.88;;
167854;Алушта р-н, Восточный мкр., д.31;;
170188;Алушта р-н, Восточный мкр., д.41;;
167811;Алушта р-н, Восточный мкр., д.425;;
167808;Алушта р-н, Восточный мкр., д.483;;
168484;Алушта р-н, Восточный мкр., д.495;;
168480;Алушта р-н, Восточный мкр., д.957;;
169704;Алушта р-н, Дельфин СТ, д.22;;
171660;Алушта р-н, Надежды мкр., д.11;;
171665;Алушта р-н, Надежды мкр., д.12;;
167310;Алушта р-н, Надежды мкр., д.21;;
170440;Алушта р-н, Надежды мкр., д.435;;
171072;Алушта р-н, Надежды мкр., д.468;;
170762;Алушта р-н, Надежды мкр., д.526;;
169305;Алушта р-н, Надежды мкр., д.53;;
169930;Алушта р-н, Надежды мкр., д.59;;
167871;Алушта р-н, Надежды мкр., д.737;;
167279;Алушта р-н, Надежды мкр., д.739;;
167792;Алушта р-н, Надежды мкр., д.749;;
168065;Алушта р-н, Надежды мкр., д.840;;
169452;Алушта р-н, Цветочная ул., д.29;;
169220;Алушта р-н, Эврика мкр., д.852;;
167665;Алушта р-н, 60 лет СССР ул., д.850;;
169833;Алушта р-н, Вишневая, д.29;;
170294;Алушта р-н, Заречная ул, д.43;;
169710;Алушта р-н, Коцюбинского ул, д.11;;
168008;Алушта р-н, Коцюбинского ул, д.2;;
167643;Алушта р-н, Коцюбинского ул, д.257;;
169530;Алушта р-н, Коцюбинского ул, д.525;;
167806;Алушта р-н, Молодежная ул., д.637;;
169735;Алушта р-н, Персиковая ул, д.535;;
168535;Алушта р-н, Персиковая ул, д.65;;
167474;Алушта р-н, Победа СТ, д.12;;
169634;Алушта р-н, Подводников ул., д.846;;
167341;Алушта р-н, Подгорная ул., д.24;;
169858;Алушта р-н, Приморская ул, д.29а;;
169651;Алушта р-н, Приморская ул., д.536;;
168975;Алушта р-н, Солнечная ул, д.69;;
169916;Алушта р-н, Табачная ул., д.41;;
168750;Алушта р-н, Улица № 1, д.326;;
168755;Алушта р-н, Шоссейная ул., д.835;;
168538;Алушта р-н, Южный пер., д.11;;
168333;Алушта р-н, 1 -я улица, д.846;;
167794;Алушта, 1 -я улица, д.22;;
140719;Алушта, Платановая ул., д.8;;
3768;Славянск, Богомольца пер., д.42;;
1380;Славянск, Вольная ул., д.4, кв.45;;
5696;Славянск, Ясная ул., д.21, кв.9;;
158520;Батилиман, Сокол СТ, д.88;;
170225;Бахчисарай р-он, Центральная ул, д.18;;
170223;Бахчисарай р-он, Центральная ул, д.48;;
168945;Бахчисарай р-он, Абрикосовая ул, д.22;;
169698;Бахчисарай р-он, Ленина ул., д.44, кв.999;;
168952;Бахчисарай р-он, Чапаева ул., д.4а;;
170150;Бахчисарай р-он, Колхозная ул, д.111;;
171266;Бахчисарай р-он, Родниковая ул, д.49, кв.998;;
170405;Бахчисарай р-он, Чкалова ул., д.2, кв.2;;
169850;Бахчисарай р-он, Абрикосовая ул., д.1;;
169819;Бахчисарай р-он, Абрикосовая ул., д.72;;
169630;Бахчисарай р-он, Абрикосовая ул., д.86;;
171524;Бахчисарай р-он, Союз СТ, д.56;;
167056;Бахчисарай р-он, Ягодная ул., д.35;;
169491;Бахчисарай р-он, Юбилейная ул., д.2, кв.999;;
168720;Бахчисарай р-он, Юбилейная ул., д.33;;
171608;Бахчисарай р-он, Молодежная ул., д.33;;
174105;Бахчисарай р-он, Зеленая ул, д.45;;
169590;Бахчисарай р-он, Ленина ул., д.757;;
171663;Бахчисарай р-он, Школьная, д.637;;
77089;Боровая р-н, 13-я Радарная ул.;;
70990;Севастополь, Крылова Маршала ул., д.8;;
70814;Севастополь, Чайкиной Лизы ул., д.95;;
70330;Севастополь, Чайкиной Лизы ул., д.97;;
167425;Сакский р-он, 1 -я улица, д.874;;
170356;Сакский р-он, Новоозерный ССК, д.11;;
170363;Сакский р-он, Новоозерный ССК, д.77;;
169244;Сакский р-он, Прибрежный пер., д.95;;
170551;Сакский р-он, Интернациональная ул., д.51, кв.26;;
175558;Евпатория, Советская ул., д.16, кв.745;;
410;Славянск, Димитрова ул., д.162;;
172049;Симферополь, Гагарина, д.26, кв.55;;
174066;Киев р-он, Бабкина ул., д.12, кв.999;;
157243;Киев р-он, Витянская ул., д.2, кв.777;;
174072;Киев р-он, Интернационала ул., д.107, кв.999;;
170576;Киев р-он, Новооскольская ул., д.10В, кв.999;;
174061;Киев р-он, Балукова ул., д.1;;
169408;Киев р-он, Радужная ул., д.143, кв.999;;
174075;Киев, Доброхотова академика ул., д.999, кв.999;;
174089;Киев, Народная ул., д.1;;
169404;Киев, Ленина ул., д.47а, кв.998;;
174099;Киев, Роллана Ромена бульв., д.13, кор.А, кв.999;;
174079;Киев, Руданского Степана ул., д.9а, кв.999;;
162930;Киев, Шамрыло Тимофея ул., д.12, кв.777;;
166718;Киев, Перова бульв., д.30Б, кв.999;;
118767;Киев, Ахматовой Анны ул., д.13, кв.745;;
156656;Киев, Дубового Ивана ул., д.47, кв.777;;
135038;Киев, Данькевича Константина ул., д.15, кв.345;;
132155;Киев, Драйзера Теодора ул., д.40, кв.333;;
119706;Киев, Березняковская ул., д.30, кор.А;;
174096;Киев, Гетьмана Вадима ( Индустриальная ) ул., д.24-9, кв.997;;
174085;Киев, Днестровская ул., д.19, кв.999;;
171670;Киев, Лебедева-Кумача ул., д.7, кв.999;;
168677;Киев, Малышко Андрея ул., д.3;;
173874;Киев, Братиславская ул., д.999, кв.555;;
174074;Киев, Телиги Олены ул., д.39, кв.998;;
166745;Киев, Гордиенко Кости ( Чекистов ) пер., д.10, кв.999;;
160164;Киев, Коперника ул., д.10, кв.222;;
166729;Киев, Пика Вильгельма ул., д.5, кв.999;;
153532;Киев, Богатырская ул., д.1, кв.888;;
135587;Киев, Героев Сталинграда просп., д.26, кор.а, кв.347;;
137222;Киев, Малиновского маршала ул., д.32, кор.Б, кв.888;;
174081;Киев, Богатырская ул., д.14, кв.999;;
174080;Киев, Богатырская ул., д.27;;
173900;Киев, Гайдай Зои ул., д.9а, кв.555;;
166709;Киев, Дегтяренко Петра ул., д.33, кв.998;;
166739;Киев, Дружбы Народов пл., д.10А, кв.999;;
174093;Киев, Срибнокильская ул., д.1, кв.555;;
169390;Киев, Чавдар Елизаветы ул., д.16, кв.999;;
169591;Киев, Отрадный просп., д.10, кв.999;;
166678;Киев, Дружбы Народов бульв., д.25, кв.999;;
123564;Киев, Кудри Ивана ул., д.28, кор.25, кв.111;;
150867;Киев, Правды просп., д.64, кв.326;;
175531;Киев, Ахматовой Анны ул., д.11, кв.828;;
166686;Киев, Гмыри ул., д.01, кв.999;;
166699;Киев, Григоренко Петра пр-т, д.14, кв.999;;
174109;Киев, Пчилки Елены ул., д.8, кв.999;;
174108;Киев, Казацкая, д.32, кв.999;;
166690;Киев, Радужная ул., д.22, кв.998;;
173379;Киев, Оросительная ул., д.3;;
173351;Киев, Стратегическое шоссе, д.53, кв.753;;
167107;Киев, Кудри Ивана ул., д.16, кв.999;;
174094;Киев, Львовская ул., д.24, кв.999;;
174069;Киев, Туполева академика ул., д.24, кв.999;;
169597;Киев, Павловская ул., д.18, кв.999;;
173821;Киев, Комарова космонавта просп., д.26, кв.197;;
174063;Киев, Регенераторная ул., д.4, кв.981;;
174082;Киев, Алма-Атинская ул., д.64, кор.А, кв.999;;
174104;Киев, Заболотного академика ул., д.78, кв.999;;
170537;Киев, Луценко Дмитрия ( Крейсера 'Аврора' ) ул., д.1, кв.999;;
166559;Киев, Луценко Дмитрия ( Крейсера 'Аврора' ) ул., д.2, кор.5, кв.998;;
172621;Киев, Луценко Дмитрия ( Крейсера 'Аврора' ) ул., д.7;;
165187;Киев, Сабурова Александра ул., д.5, кв.997;;
174091;Киев, Цветаевой Марины ул., д.8, кв.997;;
167421;Киев, Франко Ивана ул., д.6, кв.998;;
146766;Киев, Багговутовская ул., д.29, кв.887;;
161840;Киев, Борщаговская ул., д.129, кв.777;;
169821;Киев, Булгакова ул., д.12, кв.999;;
157467;Краматорск, Астраханская, д.257;;
172878;Краматорск, ул.Парковая, д.77, кв.42;;
167360;Краматорск, б-р Краматорский, д.16, кв.51;;
162278;Краматорск, б-р Краматорский, д.21, кв.456;;
173818;Краматорск, Гв.Кантемировцев ул., д.15, кв.54;;
117932;Краматорск, Дворцовая ул., д.48, кв.579;;
174095;Краматорск, Дворцовая ул., д.56, кв.156;;
168684;Краматорск, Дворцовая ул., д.57, кв.76;;
151067;Краматорск, Краматорский бульв., д.15, кв.678;;
155251;Краматорск, Нади Курченко ул., д.13, кв.78;;
175302;Краматорск, Нади Курченко ул., д.29, кв.765;;
143101;Краматорск, Парковая ул., д.103, кв.102;;
149261;Краматорск, Парковая ул., д.37, кв.89;;
169406;Краматорск, Парковая ул., д.71, кв.15;;
153566;Краматорск, Парковая ул., д.71, кв.45;;
171621;Краматорск, Рыбалко ул., д.122;;
106308;Краматорск, Юбилейная ул., д.35, кв.65;;
91786;Краматорск, Нагорная ул., д.13;;
172210;Краматорск, б-р Машиностроителей, д.31, кв.58;;
163906;Краматорск, Танкистов, д.146;;
81855;Краматорск, Быкова ул., д.6, кв.567;;
102878;Краматорск, Хабаровская ул., д.38, кв.628;;
97831;Краматорск, Рыбинская ул., д.34;;
100141;Краматорск, Центральная, д.3, кв.55;;
76289;Краматорск, Ялтинская ул., д.34;;
82603;Краматорск, Есенина ул., д.10;;
159906;Краматорск, 19 Партсъезда ул., д.34, кв.34;;
104412;Краматорск, 19 Партсъезда ул., д.61, кв.50;;
83639;Краматорск, Автокооператив Южный, д.6215;;
106872;Краматорск, Дворцовая ул., д.10, кор.1;;
164930;Краматорск, Дворцовая ул., д.18, кв.456;;
166476;Краматорск, Дворцовая ул., д.42, кв.58;;
154226;Краматорск, Интерната пер., д.5, кв.555;;
103085;Краматорск, Карпинского ул., д.34, кв.6;;
169505;Краматорск, Ленина ул., д.69, кв.84;;
151365;Краматорск, Марата ул., д.3, кв.45;;
140914;Краматорск, Н.Курченко ул., д.6, кв.234;;
5291;Краматорск, Парковая ул., д.25, кв.999;;
106341;Краматорск, Парковая ул., д.59, кор.1, кв.954;;
83246;Краматорск, Парковая ул., д.99, кв.369;;
89319;Краматорск, Социалистическая ул., д.35, кв.49;;
147424;Краматорск, Социалистическая ул., д.55, кв.846;;
155203;Краматорск, Шкадинова ул., д.10, кв.103;;
145798;Краматорск, Шкадинова ул., д.53, кв.542;;
104797;Краматорск, Шкадинова ул., д.765;;
115445;Краматорск, Шкадинова ул., д.84, кв.36;;
90606;Краматорск, Шкадинова ул., д.92, кв.22;;
174248;Краматорск, проспект Мира, д.1, кв.27;;
80654;Краматорск, Прилуцкая ул., д.16, кв.899;;
151498;Краматорск, Клубная, д.17, кв.687;;
166679;Краматорск, Конституции ул., д.26;;
144795;Краматорск, Мориса Тореза ул., д.88, кв.236;;
85449;Краматорск, Кедрова, д.88;;
156848;Краматорск, Пермская, д.432;;
171146;Красный Лиман р-он, Пионерская ул., д.7698;;
173655;Красный Лиман р-он, Приозёрная ул., д.26;;
173222;Красный Лиман р-он, Приозёрная ул., д.554;;
175426;Красный Лиман р-он, Сказочная ул., д.6456;;
174458;Красный Лиман р-он, Карьерная ул., д.554;;
171300;Красный Лиман р-он, Рядом хвойный лес и речка, д.33;;
173848;Красный Лиман р-он, Партизанская ул., д.23;;
172262;Красный Лиман р-он, Школьная ул., д.6747;;
171661;Красный Лиман р-он, Школьная ул., д.6798;;
170200;Красный Лиман, Ивана Лейко, д.13, кв.22;;
71793;Севастополь, Колосистая ул., д.41;;
175252;Сакский р-он, Аирчинская ул., д.15;;
175242;Сакский р-он, Аэрчинская ул., д.56;;
175236;Сакский р-он, Аэрчинская ул., д.57;;
175700;Сакский р-он, Дачная ул., д.12;;
175704;Сакский р-он, Дачная ул., д.13;;
175395;Сакский р-он, Дачная ул., д.745;;
175287;Сакский р-он, Космическая ул., д.15;;
175280;Сакский р-он, Курортная ул., д.15;;
175461;Сакский р-он, Солнечная ул., д.4;;
175190;Сакский р-он, Солнечная ул., д.44;;
175713;Сакский р-он, Солнечная ул., д.5;;
175515;Сакский р-он, Аллея Дружбы ул., д.77, кв.23;;
175233;Сакский р-он, Алуштинская ул, д.5, кв.6;;
175247;Сакский р-он, Береговая ул., д.22;;
175250;Сакский р-он, Береговая ул., д.24;;
175477;Сакский р-он, Могилевская ул., д.43;;
175591;Сакский р-он, Тенистая ул., д.1, кв.17;;
175533;Сакский р-он, Карьерная ул., д.6;;
175470;Сакский р-он, Дачная ул., д.1, кв.646;;
175695;Сакский р-он, Дачная ул., д.11;;
175554;Сакский р-он, Молочный пер., д.16;;
175731;Сакский р-он, Героев Десантников ул., д.6, кв.35;;
175408;Сакский р-он, Дружба 2 ст., д.47;;
175708;Сакский р-он, Дружба 2 ст., д.6;;
175482;Сакский р-он, Новоозерный ССК, д.6, кв.535;;
175710;Сакский р-он, Надежды ул., д.1;;
175671;Сакский р-он, Новая ул., д.35;;
175613;Сакский р-он, Кирова, д.3;;
175383;Сакский р-он, Производственная ул., д.11;;
175385;Сакский р-он, Производственная ул., д.12;;
175389;Сакский р-он, Производственная ул., д.13;;
175392;Сакский р-он, Производственная ул., д.14;;
175396;Сакский р-он, Производственная ул., д.15;;
175398;Сакский р-он, Производственная ул., д.16;;
174397;Харьков, пр.Тракторостроителей, д.67;;
158612;Святогорск, Островского ул., д.57, кв.321;;
78473;Севастополь, Готская ул., д.11;;
174059;Севастополь, Шевченко Тараса ул., д.12, кв.39;;
100832;Севастополь, Лесная поляна ЖСТИЗ, д.557;;
148995;Севастополь, Неженская ул., д.11, кв.8;;
170874;Севастополь, Жилищник СТ;;
136773;Севастополь, Золотая Балка СТ, д.155;;
93095;Севастополь, Медик 88 СТ, д.421, кв.45;;
71292;Севастополь, Металлист СТ, д.3;;
78514;Севастополь, Связистов ул., д.15, кор.35;;
168347;Севастополь, 7 ноября ул., д.7а, кв.1;;
168346;Севастополь, 7 ноября ул., д.7а, кв.3;;
168348;Севастополь, 7 ноября ул., д.7а, кв.33;;
168349;Севастополь, 7 ноября ул., д.7а, кв.6;;
70902;Севастополь, Горняк СТ, д.7;;
174083;Севастополь, Большая Морская ул., д.18, кв.6;;
89107;Севастополь, Севастопольская ул., д.71;;
123317;Севастополь, Севастопольская ул., д.86;;
172255;Севастополь, Героев Сталинграда ул., д.42;;
71441;Севастополь, Гавань СТ, д.99;;
171526;Севастополь, Генерала Моргунова ул., д.30;;
171452;Севастополь, Дергачи-5 СТ, д.35;;
166536;Севастополь, Дружба СТ, д.13;;
79749;Севастополь, Лагуна ЖСК, д.991;;
85989;Севастополь, Лощинная ул., д.20;;
71118;Севастополь, Кристалл СТ, д.1;;
171075;Севастополь, Риф-2 СТ, д.59;;
174098;Севастополь, Античный пр-т, д.12, кор.30, кв.89;;
132273;Севастополь, Античный пр-т, д.64, кв.10;;
174832;Севастополь, Античный пр-т, д.3, кв.901;;
157267;Севастополь, Героев Сталинграда ул., д.36, кв.545;;
174092;Севастополь, Крылова Маршала ул., д.8, кв.9;;
117480;Севастополь, Правды ул., д.29, кв.2;;
168686;Севастополь, Челнокова ул., д.12, кв.751;;
77606;Севастополь, Икар 2 СТ, д.313;;
70052;Севастополь, Сапфирная ул., д.32;;
168627;Севастополь, Багрия ул., д.75, кор.3, кв.999;;
146491;Севастополь, Пластунская ул, д.25;;
151583;Севастополь, Предместная ул., д.29;;
174070;Севастополь, Синопская ул., д.16;;
139561;Севастополь, Каспийская ул.;;
82334;Севастополь, Каспийская ул., д.29;;
169772;Севастополь, Кесаева Астана ул., д.13, кор.15, кв.999;;
71125;Севастополь, Кесаева Астана ул., д.20, кв.100;;
175507;Севастополь, Парковая ул., д.12, кв.999;;
159090;Севастополь, Парковая ул., д.14, кор.А, кв.33;;
70483;Севастополь, ПОР (пр-т Окт.революции), д.22, кор.12, кв.1;;
70754;Севастополь, ПОР (пр-т Окт.революции), д.32, кв.528;;
99998;Севастополь, ПОР (пр-т Окт.революции), д.40, кв.15;;
70348;Севастополь, ПОР (пр-т Окт.революции), д.52;;
169786;Севастополь, ПОР (пр-т Окт.революции), д.52, кор.а, кв.999;;
141722;Севастополь, Фадеева Адмирала ул., д.1, кв.111;;
70297;Севастополь, Юмашева Адмирала ул., д.17;;
174088;Севастополь, Сатурн СТ, д.6765;;
72281;Севастополь, Бахчисарайская ул., д.54;;
169661;Севастополь, Голубца Ивана ул., д.38, кв.32;;
144139;Севастополь, Руднева ул., д.28а, кв.357;;
169771;Севастополь, Строитель СТ, д.35;;
87290;Севастополь, Строитель СТ, д.951;;
91882;Севастополь, Рябиновая ул., д.9;;
168670;Севастополь, Айвовая ул., д.264;;
170443;Севастополь, Дерзский СТ, д.5;;
154116;Севастополь, Геловани Маршала ул., д.22, кв.64;;
170881;Севастополь, Музыки Николая ул, д.465, кв.999;;
142408;Севастополь, Острякова Генерала пр-т, д.244, кв.555;;
142376;Севастополь, Острякова Генерала пр-т, д.44, кв.44;;
73656;Севастополь, Хрусталева ул., д.59;;
74437;Севастополь, Мечникова ул., д.47;;
76333;Севастополь, Пожарова ул., д.20, кор.1, кв.300;;
115737;Севастополь, Петровская ул., д.22;;
171497;Севастополь, Фруктовая ул., д.15, кв.999;;
122316;Севастополь, Ветвистая ул., д.2;;
70100;Севастополь, Волнистая ул., д.1;;
70272;Севастополь, Ефремова ул., д.22;;
147327;Севастополь, Фиолентовское шоссе ул., д.1, кор.А;;
134265;Севастополь, Бриг СТ, д.38;;
77713;Севастополь, Дубок СТ, д.302;;
85241;Севастополь, Крепостное шоссе ул., д.31;;
70930;Севастополь, Малахит СТ, д.24;;
151576;Севастополь, Милосердие СТ, д.13;;
137636;Севастополь, Мрия СТ, д.33;;
175420;Севастополь, Планер СТ, д.1;;
166540;Севастополь, Риф СТ, д.22;;
71097;Севастополь, Фиолент СТ (Царское село), д.4;;
141853;Севастополь, Электрон-2 СТ, д.567;;
84219;Севастополь, Юбилейная ул., д.2, кв.37;;
88318;Севастополь, Большая Морская ул., д.17;;
153610;Севастополь, Большая Морская ул., д.17, кв.280;;
154779;Севастополь, Большая Морская ул., д.20;;
169405;Севастополь, Гоголя ул., д.35а, кв.23;;
171270;Севастополь, Керченская ул., д.426;;
174086;Севастополь, Луначарского ул., д.28, кв.111;;
171689;Севастополь, Нахимова пр., д.15;;
168986;Севастополь, Петрова Генерала ул., д.4, кв.57;;
110515;Севастополь, Комисара Морозова ул., д.6, кв.951;;
172730;Славянск, Губкина;;
168723;Симферополь р-он, Научная ул., д.33;;
171723;Симферополь р-он, Веселая ул., д.33;;
167584;Симферополь р-он, Взлетная ул., д.12;;
167014;Симферополь р-он, Мальченко ул., д.11, кв.999;;
170734;Симферополь р-он, Полевая ул., д.11;;
166267;Симферополь р-он, Зотчий кооператив, д.563;;
170425;Симферополь р-он, Нива СТ, д.45;;
168995;Симферополь р-он, Улица №2, д.63;;
170396;Симферополь р-он, Дельфин СТ, д.33;;
169834;Симферополь р-он, Мечта коп., д.19;;
168456;Симферополь р-он, Сатурн СТ улица №35, д.111;;
168596;Симферополь р-он, Улица №5, д.55;;
167805;Симферополь р-он, Улица №5, д.77;;
171574;Симферополь р-он, Мечта СТ, д.55;;
171605;Симферополь р-он, Гулистанская ул., д.48;;
170218;Симферополь р-он, Флора СТ, д.33;;
171766;Симферополь р-он, Ак-Кая ул., д.71;;
168114;Симферополь р-он, Гагарина ул., д.48;;
169918;Симферополь р-он, Карла Маркса, д.25, кв.25;;
171328;Симферополь р-он, Карла Маркса, д.47, кв.999;;
170387;Симферополь р-он, Лавандовая ул., д.39;;
170206;Симферополь р-он, Московское шоссе, д.111;;
168018;Симферополь р-он, Новая нарезка, д.11;;
171691;Симферополь р-он, Толбухина ул., д.77;;
169759;Симферополь р-он, Азовская ул., д.72;;
168092;Симферополь р-он, Земляничная ул., д.132;;
169331;Симферополь р-он, Краснова ул., д.25;;
169323;Симферополь р-он, Персиковая ул., д.35;;
169805;Симферополь р-он, Гранатовая ул., д.6;;
170553;Симферополь р-он, Возрождения ул., д.73;;
167216;Симферополь р-он, Георгиевская ул., д.33;;
171607;Симферополь р-он, Зеленая ул., д.75;;
168775;Симферополь р-он, Мерхамет ул., д.423;;
169363;Симферополь р-он, Миндальная ул., д.35;;
170177;Симферополь р-он, Мира ул, д.2а;;
169909;Симферополь р-он, Новая нарезка, д.39;;
169367;Симферополь р-он, Новая нарезка, д.61;;
171749;Симферополь р-он, Сливовая ул., д.61;;
171682;Симферополь р-он, Февральская ул., д.25;;
167197;Симферополь р-он, Февральская ул., д.34;;
169353;Симферополь р-он, Широкая ул., д.37;;
168864;Симферополь р-он, Эльдара Халилова ул., д.24;;
174062;Симферополь р-он, Участок, д.2;;
168515;Симферополь р-он, Родничек СТ, д.45;;
169013;Симферополь р-он, Ясная ул., д.58;;
167284;Симферополь р-он, Лесная ул., д.11;;
168496;Симферополь р-он, Аграрник СТ, д.59;;
167765;Симферополь р-он, Аграрник СТ, д.88;;
169334;Симферополь р-он, Журавушка СТ, д.12;;
