12 Апреля, ул., рус
Карьерная, ул., рус
Каспийская, ул., рус
Каховская, ул., рус
Каштановая, ул., рус
Квитуча, ул., рус
Квитучий, пер., рус
Кедровый, пер., рус
Кирова, ул., рус
Кияшко, ул., рус
Климова Академика, ул., рус
Клиническая, ул., рус
Клубная, ул., рус
Кобзаря, ул., рус
Ковпака, ул., рус
Кожедуба, ул., рус
Коксовый, пер., рус
Коксостроительная, ул., рус
Колерова, ул., рус
Колхозный, пер., рус
Комарова, ул., рус
Комбинатская, ул., рус
Коминтерна, ул., рус
Коммунаров, ул., рус
Коммунаровская, ул., рус
Компрессорная, ул., рус
Комсомольская, ул., рус
Конденсаторный, пер., рус
Константина Великого, ул., рус
Концевой, пер., рус
Кооперативная, ул., рус
Копенкина, ул., рус
Корабельный, пер., рус
Корнеева, ул., рус
Королева С., ул., рус
Короткий, пер., рус
Корчагинская, ул., рус
Космическая, ул., рус
Косогорный, пер., рус
Котельникова, ул., рус
Котляревского, ул., рус
Котовского, ул., рус
Кочубея, ул., рус
Кошевого О., ул., рус
Краевая, ул., рус
Красная, ул., рус
Краснова, ул., рус
Краснова Н., ул., рус
Красногвардейская, ул., рус
Краснодонская, ул., рус
Краснозаводская, ул., рус
Краснознаменная, ул., рус
Красной Конницы, ул., рус
Краснополянская, ул., рус
Кремлевская, ул., рус
Кремниевый, пер., рус
Кржижановского, ул., рус
Криворожская, ул., рус
Крицевый, пер., рус
Кронштадская, ул., рус
Круговая, ул., рус
Крупской, ул., рус
Крутояровская, ул., рус
Крылова, ул., рус
Кубинский, пер., рус
Кузнецова, ул., рус
Кузнечная, ул., рус
Кузнечный, пер., рус
Кузьмина, ул., рус
Куйбышева, ул., рус
Культурная, ул., рус
Курганная, ул., рус
Курузова, ул., рус
Курчатова Академика, ул., рус
Кустанайская, ул., рус
Кутузова, ул., рус
Ладожская, ул., рус
Лассаля, ул., рус
Лахтинская, ул., рус
Лейтенантская, ул., рус
Ленина, ул., рус
Ленская, ул., рус
Леонова, ул., рус
Леонтовича, ул., рус
Леппика, ул., рус
Лермонтова, ул., рус
Леси русаинки, ул., рус
Лесная, ул., рус
Лиманная, ул., рус
Литвинова, ул., рус
Литературная, ул., рус
Лихачева, ул., рус
Лобановского В., ул., рус
Логинова, ул., рус
Лодочная, ул., рус
Ломоносова, пер., рус
Лучевая, ул., рус
Лыжная, ул., рус
Магара, ул., рус
Магистральная, ул., рус
Магнитная, ул., рус
Майская, ул., рус
Макарова, ул., рус
Макухи, ул., рус
Малая, ул., рус
Малиновского, ул., рус
Мануильского, ул., рус
Марата, ул., рус
Марганцевая, ул., рус
Маркса К., ул., рус
Мартеновская, ул., рус
Матросова А., ул., рус
Маяковского, ул., рус
Маяковского, прос., рус
Медведева, ул., рус
Медична, ул., рус
Мельникова, ул., рус
Мельничная, ул., рус
Мельничный, пер., рус
Менделеева, ул., рус
Менжинского, ул., рус
Металлистов, ул., рус
Металлургов, прос., рус
Метрополитеновская, ул., рус
Миклея, ул., рус
Микояна, ул., рус
Минская, ул., рус
Мира, ул., рус
Миргородская, ул., рус
Мирная, ул., рус
Мирного П., ул., рус
Михайлова, ул., рус
Мичурина, ул., рус
Молодежная, ул., рус
Молодогвардейская, ул., рус
Монтажный, пер., рус
Морфлотская, ул., рус
Московская, ул., рус
Моторный, пер., рус
Музейная, ул., рус
Музыкальная, ул., рус
Муравьева, ул., рус
Мурманская, ул., рус
Набережная, ул., рус
Нагорная, ул., рус
Насосная, ул., рус
Нахимова Адмирала, ул., рус
Начальная, ул., рус
Невельского, пер., рус
Нежинская, ул., рус
Нежинский, пер., рус
Независимости, ул., рус
Немировича-Данченко, ул., рус
Нестерова, ул., рус
Нижнеднепровская, ул., рус
Нижний, пер., рус
Нижняя, ул., рус
Низовый, пер., рус
Никитина, ул., рус
Николаевой-Терешковой, ул., рус
Никопольская, ул., рус
Новая, ул., рус
Новгородская, ул., рус
Новицкого, ул., рус
Новокузнецкая, ул., рус
Новороссийская, ул., рус
Новоселовская, ул., рус
Ногина, ул., рус
Норильская, ул., рус
Ноябрьский, пер., рус
Образцовая, ул., рус
Огарева, ул., рус
Огневой, пер., рус
Огнеупорная, ул., рус
Одесская, ул., рус
Октябрьская, ул., рус
Олимпийская, ул., рус
Омельченко, ул., рус
Омская, ул., рус
Орджоникидзе, ул., рус
Орликов, пер., рус
Орловская, ул., рус
Оружейный, пер., рус
Освобожденная, ул., рус
Осенняя, ул., рус
Осоавиахима, ул., рус
Павлова Академика, ул., рус
Палия, пер., рус
Памятный, пер., рус
Панферова, ул., рус
Панфиловцев, ул., рус
Парамонова, ул., рус
Парижской Коммуны, ул., рус
Партизанская, ул., рус
Пархоменко, ул., рус
Паторжинского, ул., рус
Патриотическая, ул., рус
Первомайская, ул., рус
Передаточная, ул., рус
Передовая, ул., рус
Переяславский, пер., рус
Перовской С., ул., рус
Перспективная, ул., рус
Пестеля, ул., рус
Песчаная, ул., рус
Петровского, ул., рус
Пивденный, пер., рус
Пика В., ул., рус
Пионерская, ул., рус
Пирогова, ул., рус
Писарева, пер., рус
Пищевая, ул., рус
Плавневая, ул., рус
Платова, ул., рус
Плеханова, ул., рус
Плотинная, ул., рус
Победы, ул., рус
Подбережная, ул., рус
Подвойского, ул., рус
Подгорная, ул., рус
Подпорожняя, ул., рус
Пожарского, ул., рус
Пойденко В., ул., рус
Полевая, ул., рус
Полетаева, ул., рус
Политехническая, ул., рус
Половецкая, ул., рус
Полтавская, ул., рус
Полякова, ул., рус
Портовая, ул., рус
Посадочная, ул., рус
Поселковая, ул., рус
Поточная, ул., рус
Ппч-48, ул., рус
Правды, ул., рус
Приднепровская, ул., рус
Приднепровское, ул., рус
Приморская, ул., рус
Причальная, ул., рус
Прогрессивная, ул., рус
Производственная, ул., рус
Прокатная, ул., рус
Пролетарская, ул., рус
Прорезной, пер., рус
Профсоюзная, ул., рус
Профсоюзов, ул., рус
Прохладный, пер., рус
Прямой, пер., рус
Пугачева, ул., рус
Путейская, ул., рус
Пушкина, ул., рус
Рабочая, ул., рус
Радиаторная, ул., рус
Радищева, ул., рус
Радужная, ул., рус
Разина С., ул., рус
Ракушечный, пер., рус
Расковой, ул., рус
Революционная, ул., рус
Ревуцкого, пер., рус
Редакционная, ул., рус
Рекордная, ул., рус
Рельефная, ул., рус
Ремесленная, ул., рус
Республиканская, ул., рус
Речная, ул., рус
Рижская, ул., рус
Ровенская, ул., рус
Розваги, ул., рус
Рубана, ул., рус
Руднева Н., ул., рус
Рудный, пер., рус
Руставели, ул., рус
Рустави, ул., рус
Рыбальский, пер., рус
Рылеева, ул., рус
Рыльского, ул., рус
Рябиновая, ул., рус
Рясная, ул., рус
Садовая, ул., рус
Сакко И Ванцетти, ул., рус
Санаторная, ул., рус
Саперная, ул., рус
Сапожникова, ул., рус
Свердлова, ул., рус
Светловодская, ул., рус
Световой, пер., рус
Свободы, ул., рус
Северное, шоссе, рус
Северокольцевая, ул., рус
Седова, ул., рус
Сельская, ул., рус
Семеренко, ул., рус
Сеченова, ул., рус
Сибирская, ул., рус
Силовая, ул., рус
Симбирский, пер., рус
Симфоническая, ул., рус
Синельниковская, ул., рус
Складская, ул., рус
Сковороды, ул., рус
Скрябина, ул., рус
Скульптурная, ул., рус
Славгородская, ул., рус
Славутича, ул., рус
Славы, ул., рус
Славянская, ул., рус
Сланцевая, ул., рус
Слободчикова, ул., рус
Смежный, пер., рус
Смоленская, ул., рус
Смоляное, ул., рус
Снайперская, ул., рус
Снежный, пер., рус
Советская, ул., рус
Советское, ул., рус
Совхозная, ул., рус
Солидарности, ул., рус
Солнечная, ул., рус
Солнечный, ул., рус
Сортировочная, ул., рус
Сосновая, ул., рус
Сосюры, ул., рус
Социалистическая, ул., рус
Союзная, ул., рус
Средняя, ул., рус
Ставропольский, пер., рус
Стадионная, ул., рус
Сталеваров, ул., рус
Стальной, пер., рус
Стальского, ул., рус
Станиславского, ул., рус
Стартовая, ул., рус
Стасова, ул., рус
Стахановская, ул., рус
Степная, ул., рус
Степной, пер., рус
Стефанова, ул., рус
Стешенко, ул., рус
Столетова, ул., рус
Строителей, ул., рус
Студенческая, ул., рус
Стуса, ул., рус
Судца Маршала, ул., рус
Сулимы, ул., рус
Сумская, ул., рус
Сурикова, ул., рус
Сусанина, ул., рус
Суспильный, пер., рус
Сухая, ул., рус
Схидный, пер., рус
Счастливая, ул., рус
Сытова, ул., рус
Таврическая, ул., рус
Таганрогская, ул., рус
Таганская, ул., рус
Тактическая, ул., рус
Талалихина, ул., рус
Таллинский, пер., рус
Тараса Бульбы, ул., рус
Тбилисская, ул., рус
Тверская, ул., рус
Текстильный, пер., рус
Телеграфная, ул., рус
Теннисная, ул., рус
Теплоходная, ул., рус
Техническая, ул., рус
Технический, пер., рус
Тимирязева, ул., рус
Тимошенко, ул., рус
Тиражная, ул., рус
Титановый, пер., рус
Титова, ул., рус
Тихая, ул., рус
Тихий, пер., рус
Тобольская, ул., рус
Товарищеская, ул., рус
Тоннельная, ул., рус
Тополиная, ул., рус
Трегубенко, ул., рус
Трегубова, ул., рус
Трипольская, ул., рус
Трясило, ул., рус
Турбинная, ул., рус
Тычины, ул., рус
Тюленина С., ул., рус
Ужгородская, ул., рус
Узбекистанская, ул., рус
Украинская, ул., рус
Ульянова, ул., рус
Уральская, ул., рус
Урицкого, ул., рус
Урожай, ул., рус
Урожайная, ул., рус
Ученическая, ул., рус
Учительская, ул., рус
Учительский, пер., рус
Ушакова, пер., рус
Ушакова Адмирала, ул., рус
Фабричная, ул., рус
Фадеева, ул., рус
Федоровка, ул., рус
Фестивальная, ул., рус
Фильтровая, ул., рус
Финальная, ул., рус
Финансовая, ул., рус
Фонтанная, ул., рус
Франко И., ул., рус
Фрезерная, ул., рус
Фруктовая, ул., рус
Фрунзе, ул., рус
Фундаментальная, ул., рус
Футбольная, ул., рус
Фучика Ю., ул., рус
Хакасская, ул., рус
Харьковский, пер., рус
Хворостная, ул., рус
Хлебная, ул., рус
Хмельницкого Б., ул., рус
Хортицкая, ул., рус
Хортицкое, шоссе, рус
Хрустальный, пер., рус
Цветочная, ул., рус
Целинная, ул., рус
Центральная, ул., рус
Цитрусовая, ул., рус
Чайкиной Л., ул., рус
Чапаева, ул., рус
Чаривная, ул., рус
Череповецкая, ул., рус
Черкасский, пер., рус
Черниговская, ул., рус
Черняховского, ул., рус
Чехова, ул., рус
Читинская, ул., рус
Чичерина, ул., рус
Чкалова, ул., рус
Чонгарская, ул., рус
Чубаря, ул., рус
Чугунная, ул., рус
Чудова, ул., рус
Чуйкова Маршала, ул., рус
Чумаченко, ул., рус
Шаумяна, ул., рус
Шевченко Т., ул., рус
Шикунова, ул., рус
Широкий, пер., рус
Шишкина, ул., рус
Шкирятова, ул., рус
Школьная, ул., рус
Школьный, пер., рус
Шляховая, ул., рус
Шмидта Лейтенанта, ул., рус
Шмидта О., ул., рус
Шовковична, ул., рус
Штурманский, пер., рус
Штурмовая, ул., рус
Шушенская, ул., рус
Щаденко, ул., рус
Щербакова, ул., рус
Щорса, ул., рус
Электрическая, ул., рус
Электрозаводская, ул., рус
Электролизная, ул., рус
Энергетическая, ул., рус
Энтузиастов, ул., рус
Эпроновская, ул., рус
Юбилейная, ул., рус
Южное, шоссе, рус
Южноукраинская, ул., рус
Юлаева С., ул., рус
Юности, ул., рус
Юрьевский, пер., рус
Яблочная, ул., рус
Яворный, пер., рус
Ягодный, пер., рус
Якира, пер., рус
Янтарная, ул., рус
Ярославская, ул., рус
Ясельная, ул., рус
Ясногорская, ул., рус
Ясный, пер., рус
Яценко, ул., рус
12 квітня, вул., укр
14 жовтня, вул., укр
30 років Перемоги, вул., укр
40 років Перемоги, вул., укр
6-го Грудня, вул., укр
8 Березня, вул., укр
Абразивна, вул., укр
Абрикосова, вул., укр
Абхазський, пров., укр
Аваліані, вул., укр
Авангардна, вул., укр
Авіаційна, вул., укр
Авраменка, вул., укр
Автобусна, вул., укр
Автодорівська, вул., укр
Автодорожна, вул., укр
Автозаводська, вул., укр
Автопаркова, вул., укр
Автострадна, вул., укр
Аграрний, пров., укр
Агрономічна, вул., укр
Аджарська, вул., укр
Адигейський, пров., укр
Адлерська, вул., укр
Адміралтейська, вул., укр
Аеродромна, вул., укр
Ажурна, вул., укр
Азовська, вул., укр
Айвазовського, вул., укр
Айнлагська, вул., укр
Академічна, вул., укр
Актюбинська, вул., укр
Алапаєвська, вул., укр
Алейна, вул., укр
Алейний, пров., укр
Алма-Атинська, вул., укр
Алмазна, вул., укр
Алтайська, вул., укр
Алуштинська, вул., укр
Алюмінієва, вул., укр
Аматорська, вул., укр
Амбулаторна, вул., укр
Амосова академіка, вул., укр
Амурська, вул., укр
Анадирський, пров., укр
Анапська, вул., укр
Ангарна, вул., укр
Андреаса Валльманна, вул., укр
Антарктична, вул., укр
Антенна, вул., укр
Аптечна, вул., укр
Аравійський, пров., укр
Аральська, вул., укр
Арбатський, пров., укр
Арбузова, вул., укр
Арктична, вул., укр
Армавірська, вул., укр
Армійський, пров., укр
Арочна, вул., укр
Артеківський, пров., укр
Артилеристів, вул., укр
Архангельський, пров., укр
Архітектурна, вул., укр
Астраханська, вул., укр
Астрономічний, пров., укр
Багратіона, вул., укр
Базарна, вул., укр
Базова, вул., укр
Байди, вул., укр
Байконурівська, вул., укр
Бакинський, пров., укр
Балка Поповка, вул., укр
Балкова, вул., укр
Балтійська, вул., укр
Банківська, вул., укр
Баранова, вул., укр
Барвиста, вул., укр
Барикадна, вул., укр
Барнаульський, пров., укр
Басейна, вул., укр
Бастіонний, пров., укр
Батайська, вул., укр
Батарейна, вул., укр
Батумська, вул., укр
Бахчисарайський, пров., укр
Безіменний, пров., укр
Бельфорський, бульв., укр
Бердянський, пров., укр
Бережки, вул., укр
Березневий, пров., укр
Березовий, пров., укр
Берінга, пров., укр
Бестужева, вул., укр
Бетонна, вул., укр
Бетховена, вул., укр
Бєлгородський, пров., укр
Бєлінського, вул., укр
Бєлокопитова, вул., укр
Билкіна, вул., укр
Білогорська, вул., укр
Білоруська, вул., укр
Бірюзова, вул., укр
Бірюсинський, пров., укр
Благовіщенська, вул., укр
Благоєва, вул., укр
Блакитна, вул., укр
Ближній, пров., укр
Богдана Завади, вул., укр
Богдана Ступки, вул., укр
Богдана Хмельницького, вул., укр
Бодянського, вул., укр
Бойова, вул., укр
Болотникова, вул., укр
Бориса Грінченка, вул., укр
Бориса Луцького, вул., укр
Борисоглібська, вул., укр
Бородінська, вул., укр
Боротьби, вул., укр
Ботанічна, вул., укр
Бочарова, вул., укр
Братська, вул., укр
Братський, пров., укр
Брестський, пров., укр
Броненосця 'Потьомкін', вул., укр
Броньова, вул., укр
Брюллова, вул., укр
Брянська, вул., укр
Будапештський, пров., укр
Будинок відпочинку, вул., укр
Будинок залізничників, вул., укр
Будівельна, вул., укр
Будівельників, бульв., укр
Бузкова, вул., укр
Бузький, пров., укр
Буковинський, пров., укр
Булавіна, вул., укр
Бурденка, вул., укр
Буревісника, вул., укр
Бутирський, пров., укр
Вавілова, вул., укр
Вагонна, вул., укр
Вантажний (Олександрівський), пров., укр
Вантажний (Шевченківський), пров., укр
Вапняна, вул., укр
Варшавський, пров., укр
Василя Вишиваного, вул., укр
Василя Діденка, вул., укр
Василя Пойденка, вул., укр
Василя Сергієнка, вул., укр
Василя Стуса, вул., укр
Васильєва, вул., укр
Вахтова, вул., укр
Великолузька, вул., укр
Вербова, вул., укр
Верещагіна, вул., укр
Вернадського академіка, вул., укр
Верхоянська, вул., укр
Весела, вул., укр
Весніна академіка, вул., укр
Весняний, пров., укр
Ветеранів, пров., укр
Вечірній, пров., укр
Виборзька, вул., укр
Виноградна, вул., укр
Виробнича, вул., укр
Високовольтна, вул., укр
Високогірна, вул., укр
Висотна, вул., укр
Вихідний, пров., укр
Вишнева, вул., укр
Вишневського, вул., укр
Віденський, пров., укр
Відкритий, пров., укр
Відмінна, вул., укр
Відрадний, пров., укр
Відродження, вул., укр
Військбуд, вул., укр
Військкоматська, вул., укр
Віктора Духовченка, вул., укр
Вільного козацтва, вул., укр
Вільнянський, пров., укр
Вінницька, вул., укр
Вінтера, бульв., укр
Віражна, вул., укр
Вірний, пров., укр
Віталія Тіліженка, проїзд, укр
Вітряна, вул., укр
Вітчизняний, бульв., укр
Владивостоцька, вул., укр
Внуковський, пров., укр
Вогневий, пров., укр
Вогнетривка, вул., укр
Водний, пров., укр
Водовертна, вул., укр
Водограйна, вул., укр
Водозабірна, вул., укр
Водонапірний, пров., укр
Водяна, вул., укр
Возз'єднання України, вул., укр
Вознесенівська, вул., укр
Воїнова, вул., укр
Вокзальна, вул., укр
Волгоградська, вул., укр
Волгодонська, вул., укр
Волзька, вул., укр
Волинська, вул., укр
Волі, вул., укр
Вологодський, пров., укр
Володарська, вул., укр
Володимирська, вул., укр
Волоколамська, вул., укр
Волошкова, вул., укр
Волховський, пров., укр
Вольська, вул., укр
Воркутинський, пров., укр
Воронезька, вул., укр
Вороніна, вул., укр
Вороніхіна, вул., укр
вроцл, вул., укр
Вроцлавська, вул., укр
Вуглегірська, вул., укр
Вузівська, вул., укр
Вузлова, вул., укр
Вузькоколійна, вул., укр
Вятська, вул., укр
Гагаріна, вул., укр
Газетний, пров., укр
Галушки сталевара, вул., укр
Гарабарей, жилий масив, укр
Гарнізонна, вул., укр
Гастелло, вул., укр
Гвардійський, бульв., укр
Генераторна, вул., укр
Генічеський, пров., укр
Геологічна, вул., укр
Георгія Вегмана, вул., укр
Георгія Нелюбова, вул., укр
Героїв 37-го батальону, вул., укр
Героїв 55-ї бригади, вул., укр
Героїв 93-ї бригади, вул., укр
Героїв Дніпра, вул., укр
Герхарда Ремпеля, вул., укр
Гетманська, вул., укр
Гетьмана Івана Самойловича, вул., укр
Гімалайський, пров., укр
Гладкова, вул., укр
Глазунова, вул., укр
Глєбова, вул., укр
Глибокий, пров., укр
Глиноцементна, вул., укр
Глінки, пров., укр
Глісерна, вул., укр
Гнаровської, вул., укр
Гоголя, вул., укр
Голядкіна, вул., укр
Гомельський, пров., укр
Гончара, вул., укр
Гончарова, вул., укр
Горіхова Бухта, вул., укр
Горна, вул., укр
Горобинова, вул., укр
Городня, вул., укр
Господарська, вул., укр
Господарча, вул., укр
Гостинна, вул., укр
Грабовського, вул., укр
Гранітна, вул., укр
Гребельна, вул., укр
Гребінки, вул., укр
Грекова академіка, вул., укр
Грибоєдова, вул., укр
Григорія Квітки-Основ'яненка, вул., укр
Григорія Несмашного, вул., укр
Григорія Чечета, вул., укр
Гризодубової, вул., укр
Грізний, пров., укр
Гродненська, вул., укр
Громадянська, вул., укр
Громової, вул., укр
Груднева, вул., укр
Грузинська, вул., укр
Грушева, вул., укр
Гурзуфський, пров., укр
Давидова, вул., укр
Далекосхідна, вул., укр
Дальній, пров., укр
Дальня, вул., укр
Дарвіна, вул., укр
Дарвіна, пров., укр
Дарницький, пров., укр
Дачна, вул., укр
Дачний, пров., укр
Двадцять дев'ята, вул., укр
Двінська, вул., укр
Дев'ятого травня, вул., укр
Дегтярьова, вул., укр
Дежньова, вул., укр
Декабристів, вул., укр
Демократична, вул., укр
Деповська, вул., укр
Депутатська, вул., укр
Державіна, вул., укр
Дивізіонна, вул., укр
Дивногорська, вул., укр
Дизельна, вул., укр
Дирижабельна, вул., укр
Діагональна, вул., укр
Дмитра Миргородського, вул., укр
Дніпробудівельна, вул., укр
Дніпровська, вул., укр
Дніпровське, шосе, укр
Дніпровські зорі, вул., укр
Дніпровські пороги, вул., укр
Дніпрорудний, пров., укр
Дністровська, вул., укр
Доблесна, вул., укр
Добробутна, вул., укр
Добровольчих батальйонів, вул., укр
Добролюбова, вул., укр
Доватора, вул., укр
Довженка, вул., укр
Доківська, вул., укр
Докучаєва, вул., укр
Долинна, вул., укр
Донбаська, вул., укр
Донецька, вул., укр
Донецьке, шосе, укр
Донська, вул., укр
Дорожний, пров., укр
Дорошенка, вул., укр
Дослідна станція, вул., укр
Досягнень, вул., укр
Дружби, вул., укр
Дружна, вул., укр
Дружний, проїзд, укр
Друкарська, вул., укр
Дубова, вул., укр
Дубовий, пров., укр
Дубовця, вул., укр
Дудикіна, вул., укр
Дунайська, вул., укр
Економічний, пров., укр
Елеваторна, вул., укр
Електрична, вул., укр
Електрозаводська, вул., укр
Електролізна, вул., укр
Енергетична, вул., укр
Ентузіастів, вул., укр
Естонська, вул., укр
Етюдна, вул., укр
Євпаторійська, вул., укр
Європейська, вул., укр
Єднання, вул., укр
Єйська, вул., укр
Єлизавети Щедрович, вул., укр
Єльницький, пров., укр
Єнісейська, вул., укр
Єреванський, пров., укр
Єрмака, вул., укр
Єрмолової, вул., укр
Єсеніна, вул., укр
Женевський, пров., укр
Жигулівський, пров., укр
Житомирська, вул., укр
Жуковського, вул., укр
Заводська, вул., укр
Загорська, вул., укр
Закарпатська, вул., укр
Залізна, вул., укр
Залізнична (приватний сектор), вул., укр
Залізничний, пров., укр
Заміська, вул., укр
Заозерна, вул., укр
Заповідна, вул., укр
Заполярна, вул., укр
Запоріжбудівська, вул., укр
Запоріжсталівська, вул., укр
Запорізька, вул., укр
Запорізька Січ, вул., укр
Запорозького козацтва, вул., укр
Зарічна, вул., укр
Зарічний, пров., укр
Заслонова Костянтина, вул., укр
Західна, вул., укр
Зачиняєва, вул., укр
