16 Июля, ул., рус
Золотіївська, вул., укр
Зоряна, вул., укр
Йосипа Драганчука, вул., укр
Йосифа Сліпого, вул., укр
Івана Богуна, вул., укр
Івана Вишенського, вул., укр
Івана Гонти, вул., укр
Івана Їжакевича, вул., укр
Івана Нечая, вул., укр
Івана Носаля, вул., укр
Івана Огієнка, вул., укр
Івана Сірка, вул., укр
Івана Франка, вул., укр
Іванова, вул., укр
Ігоря Волошина, пров., укр
Ігоря Свєшнікова, вул., укр
Ізмаїльська, вул., укр
Інкубаторна, вул., укр
Кавказька, вул., укр
Кавказький, пров., укр
Калинова, вул., укр
Кам'янець-Подільська, вул., укр
Кармелюка, вул., укр
Карпенка-Карого, вул., укр
Карпинського, вул., укр
Каховська, вул., укр
Квітки Основ'яненка, вул., укр
Квітуча, вул., укр
Кибалюка, вул., укр
Київська, вул., укр
Кірова, вул., укр
Кленова, вул., укр
Кленовий, пров., укр
Клешканя, вул., укр
Клима Савури, вул., укр
Клубна, вул., укр
Клубний, пров., укр
Княгиницького, вул., укр
Князя Володимира, вул., укр
Князя Острозького, вул., укр
Князя Романа, вул., укр
Кобзарська, вул., укр
Ковалевської, вул., укр
Ковельська, вул., укр
Козацька, вул., укр
Комарова, вул., укр
Конотопської битви, вул., укр
Конторська, вул., укр
Кооперативна, вул., укр
Коперника, вул., укр
Корнинська, вул., укр
Корнинський, пров., укр
Корнійчука, пров., укр
Короленка, вул., укр
Корольова, вул., укр
Коростенська, вул., укр
Коротка, вул., укр
Корсуньська, вул., укр
Космідіаді, вул., укр
Костромська, вул., укр
Костюшка, вул., укр
Костянтина Литвина, вул., укр
Котляревського, вул., укр
Коцюбинського, вул., укр
Крейдяна, вул., укр
Кременецька, вул., укр
Кривоноса, вул., укр
Кримського академіка, вул., укр
Кропивницького, вул., укр
Кубанська, вул., укр
Купріна, вул., укр
Курганська, вул., укр
Курчатова, вул., укр
Кутузова, вул., укр
Леоніда Ступницького, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Лесі Українки, пров., укр
Лєскова, вул., укр
Липінського, вул., укр
Липського академіка, вул., укр
Лисенка, вул., укр
Литовська, вул., укр
Лікарняна, вул., укр
Лікарняний, пров., укр
Лісова, вул., укр
Літня, вул., укр
Лозова, вул., укр
Ломоносова, вул., укр
Лугова, вул., укр
Луцька, вул., укр
Люблінська, вул., укр
Львівська, вул., укр
Льонокомбінатівська, вул., укр
Мазепи гетьмана, вул., укр
Майдан Незалежності , вул., укр
Майдан Просвіти , вул., укр
Макарова, вул., укр
Максима Березовського, вул., укр
Малий узвіз, вул., укр
Малинова, вул., укр
Малиновського академіка, вул., укр
Малорівненська, вул., укр
Мальовнича, вул., укр
Марії Несвицької, вул., укр
Марка Вовчка, вул., укр
Марусі Чурай, вул., укр
Матросова, вул., укр
Маяковського, вул., укр
Медична, вул., укр
Межова, вул., укр
Мелетія Смотрицького, вул., укр
Мельнична, вул., укр
Менделєєва, вул., укр
Микитенка, вул., укр
Миколи Боголюбова, вул., укр
Миколи Веремчука, вул., укр
Миколи Вороного, вул., укр
Миколи Зерова, вул., укр
Миколи Карнаухова, вул., укр
Миколи Костомарова, вул., укр
Миколи Леонтовича, вул., укр
Миколи Негребецького, вул., укр
Миколи Рильського, вул., укр
Миколи Самокиша, вул., укр
Миколи Самолюка, вул., укр
Миколи Хвильового, вул., укр
Мила, вул., укр
Миру, просп., укр
Миру, вул., укр
Мисливська, вул., укр
Михайла Вербицького, вул., укр
Михайла Врубеля, вул., укр
Михайла Драгоманова, вул., укр
Михайла Старицького, вул., укр
Міцкевича, вул., укр
Мічуріна, вул., укр
Млинарська, вул., укр
Млинівська, вул., укр
Млинівський, пров., укр
Можайського, вул., укр
Мойсея Базіна, вул., укр
Молодіжна, вул., укр
Морозенка, вул., укр
Мукачівська, вул., укр
Мукерія, вул., укр
Набережна, вул., укр
Нагірна, вул., укр
Надвірна, вул., укр
Небесної сотні, вул., укр
Некрасова, вул., укр
Некрасова, пров., укр
Неофіта Кибалюка, вул., укр
Нескорених, вул., укр
Нижньодворецька, вул., укр
Низова, вул., укр
Ніла Хасевича, вул., укр
Нова, вул., укр
Новобармацька, вул., укр
Новодвірська, вул., укр
Ньютона, вул., укр
Озерна, вул., укр
Оксани Лятуринської, вул., укр
Оксани Петрусенко, вул., укр
Олега Ольжича, вул., укр
Олександра Блока, вул., укр
Олександра Довженка, вул., укр
Олександра Карпинського, вул., укр
Олександра Кондратьєва, вул., укр
Олександра Олеся, вул., укр
Олександрійська, вул., укр
Олекси Новака, вул., укр
Олексинська, вул., укр
Олени Пчілки, вул., укр
Олени Теліги, вул., укр
Ольги княгині, вул., укр
Ольги Кобилянської, вул., укр
Орлова, вул., укр
Оршанської перемоги, вул., укр
Осипова, вул., укр
Остапа Вересая, вул., укр
Остапа Вересая, пров., укр
Островського, вул., укр
Павла Скоропадського, вул., укр
Павла Тичини, вул., укр
Павла Чубинського, вул., укр
Павлюченка, вул., укр
Панаса Мирного, вул., укр
Пантелеймона Куліша, вул., укр
Паркова, вул., укр
Парковий, пров., укр
Партизанський, пров., укр
Пасхальна, вул., укр
Пекарська, вул., укр
Перемоги, вул., укр
Перескок, вул., укр
Пересопницька, вул., укр
Перший промінь, вул., укр
Петлюри, вул., укр
Петра Григоренка, вул., укр
Петра Дорошенка, вул., укр
Петра Калнишевського, вул., укр
Петра Могили, вул., укр
Петра Нестерова, вул., укр
Пилипа Орлика, вул., укр
Пирогова, вул., укр
Пискарьова, вул., укр
Підгірна, вул., укр
Підгірний, пров., укр
Підкови, вул., укр
Піщана, вул., укр
Піщаний, пров., укр
Пластова, вул., укр
Погоринська, вул., укр
Покровська, вул., укр
Поліська, вул., укр
Полтави, вул., укр
Полтавська, вул., укр
Полуботка гетьмана, вул., укр
Полунична, вул., укр
Польна, вул., укр
Польова, вул., укр
Поперечна, вул., укр
Поповича, вул., укр
Постишева, вул., укр
Поштова, вул., укр
Пржевальського, вул., укр
Привільна, вул., укр
Привітна, вул., укр
Привокзальна, пл., укр
Придорожня, вул., укр
Прилужна, вул., укр
Приозерна, вул., укр
Присадибна, вул., укр
Променева, вул., укр
Промислова, вул., укр
Прохідна, вул., укр
Пушкіна, вул., укр
Пушкіна, пров., укр
Радивилівська, вул., укр
Радянська, вул., укр
Райдужна, вул., укр
Райдужний, пров., укр
Реміснича, вул., укр
Рилеєва, вул., укр
Рівне, вул., укр
Рівненська, вул., укр
Різдв'яна, вул., укр
Річна, вул., укр
Робітничий, пров., укр
Робоча, вул., укр
Романа Шухевича, вул., укр
Ростислава Волошина, вул., укр
Росяна, вул., укр
Руська, вул., укр
Сагайдачного гетьмана, вул., укр
Садова, вул., укр
Садовського, вул., укр
Саксаганського, вул., укр
Світанкова, вул., укр
Світлична, вул., укр
Свободи, вул., укр
Святкова, вул., укр
Севастопольська, вул., укр
Северина Наливайка, вул., укр
Семена Скляренка, вул., укр
Сергія Боженова, вул., укр
Сергія Єсєніна, вул., укр
Серпанкова, вул., укр
Симиренка, вул., укр
Січових Cтрільців, вул., укр
Січових Cтрільців, пров., укр
Слави, вул., укр
Словацького, вул., укр
Слов'янська, вул., укр
Смерекова, вул., укр
Соборна, вул., укр
Соборна БОС, вул., укр
Соломії Крушельницької, вул., укр
Сонячна, вул., укр
Софіївська, вул., укр
Сошенка, вул., укр
Спартака, вул., укр
Спаська, вул., укр
Спідвейна, вул., укр
Спокійна, вул., укр
Станіславського, вул., укр
Степана Бандери, вул., укр
Бандери, вул., укр
Степана Васильченка, вул., укр
Степана Васильченка, пров., укр
Степана Скрипника, вул., укр
Степова, вул., укр
Стефановича, вул., укр
Стецько Ярослави, вул., укр
Стрілецький, пров., укр
Студентська, вул., укр
Суворова, вул., укр
Сумська, вул., укр
Таврійська, вул., укр
Театральна, вул., укр
Теодозії Бриж, вул., укр
Терешкової, пров., укр
Тернопільська, вул., укр
Технічна, вул., укр
Тиннівська, вул., укр
Тиннівський, пров., укр
Тиха, вул., укр
Тичини, вул., укр
Тімірязєва, вул., укр
Тінистий, пров., укр
Тітова, вул., укр
Толстого, вул., укр
Трактористів, вул., укр
Транспортна, вул., укр
Трипільська, вул., укр
Тувинських Добровольців, вул., укр
Тургенєва, вул., укр
Тюленіна, пров., укр
Тютюнника полковника, вул., укр
Ужгородська, вул., укр
Українська, вул., укр
Уласа Самчука, вул., укр
Упорна, вул., укр
Успішна, вул., укр
Устинська, вул., укр
Ушинського, вул., укр
Фабрична, вул., укр
Федора Пекарського, вул., укр
Федорова, вул., укр
Федьковича, вул., укр
Філатова, вул., укр
Фруктова, вул., укр
Фучика, вул., укр
Харити Кононенко, вул., укр
Харківська, вул., укр
Херсонська, вул., укр
Хлібна, вул., укр
Хліборобів, вул., укр
Хмільна, вул., укр
Холмська, вул., укр
Хорошуна, вул., укр
Хутірська, вул., укр
Центральна, вул., укр
Центральний, пров., укр
Центральної Ради, вул., укр
Ціолковського, вул., укр
Чайковського, вул., укр
Чебишева, вул., укр
Червонія генерала, вул., укр
Червоногірська, вул., укр
Чернишова, вул., укр
Чернігівська, вул., укр
Чехова, вул., укр
Чехова, пров., укр
Чешська, вул., укр
Чкалова, вул., укр
Чумацька, вул., укр
Шевський, пров., укр
Шевченка, вул., укр
Шекспіра, вул., укр
Шепетівська, вул., укр
Шкільна, вул., укр
Шкільний, пров., укр
Шопена, вул., укр
Шпанівський, пров., укр
Шпудейка, вул., укр
Шрама, вул., укр
Штейнгеля, вул., укр
Щаслива, вул., укр
Щасливий, пров., укр
Ювілейна, вул., укр
Юрія Горліса-Горського, вул., укр
Яблунева, вул., укр
Яворницького, вул., укр
Ягідна, вул., укр
Якова Бичківського, вул., укр
Якуба Гофмана, вул., укр
Яновського, вул., укр
Ярослава Гашека, вул., укр
Ярослава Мудрого, вул., укр
Ясенева, вул., укр
Ясна, вул., укр
